路不拾遗 ['l', 'b', 'sh', 'y'] ['u', 'u', 'i', 'i'] ['4', '4', '2', '2'] 
恬不知耻 ['t', 'b', 'zh', 'ch'] ['ian', 'u', 'i', 'i'] ['2', '4', '1', '3'] 
货真价实 ['h', 'zh', 'j', 'sh'] ['uo', 'en', 'ia', 'i'] ['4', '1', '4', '2'] 
彬彬有礼 ['b', 'b', 'y', 'l'] ['in', 'in', 'ou', 'i'] ['1', '1', '3', '3'] 
里里外外 ['l', 'l', 'w', 'w'] ['i', 'i', 'ai', 'ai'] ['3', '3', '4', '4'] 
志在必得 ['zh', 'z', 'b', 'd'] ['i', 'ai', 'i', 'ei'] ['4', '4', '4', '3'] 
十指连心 ['sh', 'zh', 'l', 'x'] ['i', 'i', 'ian', 'in'] ['2', '3', '2', '1'] 
如痴如醉 ['r', 'ch', 'r', 'z'] ['u', 'i', 'u', 'ui'] ['2', '1', '2', '4'] 
一诺无辞 ['y', 'n', 'w', 'c'] ['i', 'uo', 'u', 'i'] ['1', '4', '2', '2'] 
婀娜多姿 [None, 'n', 'd', 'z'] ['e', 'uo', 'uo', 'i'] ['1', '2', '1', '1'] 
不期而遇 ['b', 'q', None, 'y'] ['u', 'i', 'er', 'v'] ['4', '1', '2', '4']
见缝插针 ['j', 'f', 'ch', 'zh'] ['ian', 'eng', 'a', 'en'] ['4', '4', '1', '1'] 
颐指气使 ['y', 'zh', 'q', 'sh'] ['i', 'i', 'i', 'i'] ['2', '3', '4', '3'] 
相见恨晚 ['x', 'j', 'h', 'w'] ['iang', 'ian', 'en', 'an'] ['1', '4', '4', '3'] 
心甘情愿 ['x', 'g', 'q', 'y'] ['in', 'an', 'ing', 'van'] ['1', '1', '2', '4']
穷奢极欲 ['q', 'sh', 'j', 'y'] ['iong', 'e', 'i', 'v'] ['2', '1', '2', '4']
艰苦卓绝 ['j', 'k', 'zh', 'j'] ['ian', 'u', 'uo', 've'] ['1', '3', '2', '2']
水天一色 ['sh', 't', 'y', 's'] ['ui', 'ian', 'i', 'e'] ['3', '1', '1', '4'] 
有心无力 ['y', 'x', 'w', 'l'] ['ou', 'in', 'u', 'i'] ['3', '1', '2', '4'] 
志同道合 ['zh', 't', 'd', 'h'] ['i', 'ong', 'ao', 'e'] ['4', '2', '4', '2'] 
错综复杂 ['c', 'z', 'f', 'z'] ['uo', 'ong', 'u', 'a'] ['4', '1', '4', '2'] 
名不虚传 ['m', 'b', 'x', 'ch'] ['ing', 'u', 'v', 'uan'] ['2', '4', '1', '2']
夫唱妇随 ['f', 'ch', 'f', 's'] ['u', 'ang', 'u', 'ui'] ['1', '4', '4', '2'] 
万无一失 ['w', 'w', 'y', 'sh'] ['an', 'u', 'i', 'i'] ['4', '2', '1', '1'] 
姹紫嫣红 ['ch', 'z', 'y', 'h'] ['a', 'i', 'an', 'ong'] ['4', '3', '1', '2'] 
荡然无存 ['d', 'r', 'w', 'c'] ['ang', 'an', 'u', 'un'] ['4', '2', '2', '2'] 
耿耿于怀 ['g', 'g', 'y', 'h'] ['eng', 'eng', 'v', 'uai'] ['3', '3', '2', '2']
切肤之痛 ['q', 'f', 'zh', 't'] ['ie', 'u', 'i', 'ong'] ['4', '1', '1', '4'] 
天南海北 ['t', 'n', 'h', 'b'] ['ian', 'an', 'ai', 'ei'] ['1', '2', '3', '3'] 
地动山摇 ['d', 'd', 'sh', 'y'] ['i', 'ong', 'an', 'ao'] ['4', '4', '1', '2'] 
福寿安康 ['f', 'sh', None, 'k'] ['u', 'ou', 'an', 'ang'] ['2', '4', '1', '1'] 
虎虎生威 ['h', 'h', 'sh', 'w'] ['u', 'u', 'eng', 'ei'] ['3', '3', '1', '1'] 
酒虎诗龙 ['j', 'h', 'sh', 'l'] ['iu', 'u', 'i', 'ong'] ['3', '3', '1', '2'] 
虎啸风生 ['h', 'x', 'f', 'sh'] ['u', 'iao', 'eng', 'eng'] ['3', '4', '1', '1'] 
卧虎藏龙 ['w', 'h', 'c', 'l'] ['o', 'u', 'ang', 'ong'] ['4', '3', '2', '2'] 
虎视眈眈 ['h', 'sh', 'd', 'd'] ['u', 'i', 'an', 'an'] ['3', '4', '1', '1'] 
春华秋实 ['ch', 'h', 'q', 'sh'] ['un', 'ua', 'iu', 'i'] ['1', '2', '1', '2'] 
一面之辞 ['y', 'm', 'zh', 'c'] ['i', 'ian', 'i', 'i'] ['1', '4', '1', '2'] 
变化莫测 ['b', 'h', 'm', 'c'] ['ian', 'ua', 'o', 'e'] ['4', '4', '4', '4'] 
穷山恶水 ['q', 'sh', None, 'sh'] ['iong', 'an', 'e', 'ui'] ['2', '1', '4', '3'] 
百废待兴 ['b', 'f', 'd', 'x'] ['ai', 'ei', 'ai', 'ing'] ['3', '4', '4', '1'] 
百年树人 ['b', 'n', 'sh', 'r'] ['ai', 'ian', 'u', 'en'] ['3', '2', '4', '2'] 
吃里扒外 ['ch', 'l', 'p', 'w'] ['i', 'i', 'a', 'ai'] ['1', '3', '2', '4'] 
井然有条 ['j', 'r', 'y', 't'] ['ing', 'an', 'ou', 'iao'] ['3', '2', '3', '2'] 
本性难移 ['b', 'x', 'n', 'y'] ['en', 'ing', 'an', 'i'] ['3', '4', '2', '2'] 
口是心非 ['k', 'sh', 'x', 'f'] ['ou', 'i', 'in', 'ei'] ['3', '4', '1', '1'] 
雄心勃勃 ['x', 'x', 'b', 'b'] ['iong', 'in', 'o', 'o'] ['2', '1', '2', '2'] 
各有千秋 ['g', 'y', 'q', 'q'] ['e', 'ou', 'ian', 'iu'] ['4', '3', '1', '1'] 
异口同声 ['y', 'k', 't', 'sh'] ['i', 'ou', 'ong', 'eng'] ['4', '3', '2', '1'] 
因噎废食 ['y', 'y', 'f', 'sh'] ['in', 'e', 'ei', 'i'] ['1', '1', '4', '2'] 
惊世骇俗 ['j', 'sh', 'h', 's'] ['ing', 'i', 'ai', 'u'] ['1', '4', '4', '2'] 
同甘共苦 ['t', 'g', 'g', 'k'] ['ong', 'an', 'ong', 'u'] ['2', '1', '4', '3'] 
见风使舵 ['j', 'f', 'sh', 'd'] ['ian', 'eng', 'i', 'uo'] ['4', '1', '3', '4'] 
地北天南 ['d', 'b', 't', 'n'] ['i', 'ei', 'ian', 'an'] ['4', '3', '1', '2'] 
锦上添花 ['j', 'sh', 't', 'h'] ['in', 'ang', 'ian', 'ua'] ['3', '4', '1', '1'] 
应对如流 ['y', 'd', 'r', 'l'] ['ing', 'ui', 'u', 'iu'] ['4', '4', '2', '2'] 
入木三分 ['r', 'm', 's', 'f'] ['u', 'u', 'an', 'en'] ['4', '4', '1', '1'] 
瓜田李下 ['g', 't', 'l', 'x'] ['ua', 'ian', 'i', 'ia'] ['1', '2', '3', '4'] 
语不投机 ['y', 'b', 't', 'j'] ['v', 'u', 'ou', 'i'] ['3', '4', '2', '1']
孜孜不倦 ['z', 'z', 'b', 'j'] ['i', 'i', 'u', 'van'] ['1', '1', '4', '4']
胆战心惊 ['d', 'zh', 'x', 'j'] ['an', 'an', 'in', 'ing'] ['3', '4', '1', '1'] 
人老珠黄 ['r', 'l', 'zh', 'h'] ['en', 'ao', 'u', 'uang'] ['2', '3', '1', '2'] 
寄人篱下 ['j', 'r', 'l', 'x'] ['i', 'en', 'i', 'ia'] ['4', '2', '2', '4'] 
行尸走肉 ['x', 'sh', 'z', 'r'] ['ing', 'i', 'ou', 'ou'] ['2', '1', '3', '4'] 
国泰民安 ['g', 't', 'm', None] ['uo', 'ai', 'in', 'an'] ['2', '4', '2', '1'] 
轻声细语 ['q', 'sh', 'x', 'y'] ['ing', 'eng', 'i', 'v'] ['1', '1', '4', '3']
自不量力 ['z', 'b', 'l', 'l'] ['i', 'u', 'iang', 'i'] ['4', '4', '4', '4'] 
平步青云 ['p', 'b', 'q', 'y'] ['ing', 'u', 'ing', 'vn'] ['2', '4', '1', '2']
谈笑风生 ['t', 'x', 'f', 'sh'] ['an', 'iao', 'eng', 'eng'] ['2', '4', '1', '1'] 
见义勇为 ['j', 'y', 'y', 'w'] ['ian', 'i', 'ong', 'ei'] ['4', '4', '3', '2'] 
回天乏术 ['h', 't', 'f', 'sh'] ['ui', 'ian', 'a', 'u'] ['2', '1', '2', '4'] 
首当其冲 ['sh', 'd', 'q', 'ch'] ['ou', 'ang', 'i', 'ong'] ['3', '1', '2', '1'] 
千姿百态 ['q', 'z', 'b', 't'] ['ian', 'i', 'ai', 'ai'] ['1', '1', '3', '4'] 
蓬荜生辉 ['p', 'b', 'sh', 'h'] ['eng', 'i', 'eng', 'ui'] ['2', '4', '1', '1'] 
